Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
1071,MC_SC_17_s01R_428,23,7,4,False,False,False,True,False,3,38,33,0,22,0,1,0,0,11,4,0,1,2550.0
1072,MC_SC_17_s01R_429,23,3,2,False,False,True,False,False,2,11,3,0,7,0,0,0,0,0,1,0,6,1836.0
1073,MC_SC_17_s01R_430,23,5,3,False,False,False,True,False,0,18,24,1,4,0,0,0,2,0,3,1,0,1965.0
1074,MC_SC_17_s01R_431,23,4,2,False,False,True,False,False,0,34,29,0,2,0,1,0,2,0,0,1,0,1234.0
1076,MC_SC_17_s01R_432,23,8,6,False,False,False,True,False,1,22,14,0,35,1,4,1,1,7,6,1,5,3542.0
1078,MC_SC_17_s01R_433,23,5,3,False,False,True,False,False,0,23,6,2,56,2,0,2,1,0,5,0,3,2258.0
1080,MC_SC_17_s01R_434,23,5,3,False,False,True,False,False,58,42,36,7,144,4,1,1,4,46,12,1,2,4717.0
1091,MC_SC_17_s01R_435,23,5,4,False,False,False,True,False,0,35,33,0,12,0,1,0,0,17,2,0,0,1492.0
1092,MC_SC_17_s01R_436,23,5,3,False,False,False,True,False,2,12,11,0,5,0,7,2,4,0,5,2,4,1840.0
1093,MC_SC_17_s01R_437,23,5,4,False,False,True,False,False,0,0,6,2,2,10,2,1,5,2,1,2,2,662.0
1096,MC_SC_17_s01R_438,24,6,3,False,False,False,True,False,3,8,9,0,43,0,0,0,2,7,4,1,1,3021.0
1098,MC_SC_17_s01R_439,24,5,2,False,False,True,False,False,39,4,12,4,3,0,1,0,0,1,1,0,0,1658.0
1100,MC_SC_17_s01R_440,24,7,5,False,False,False,True,False,1,26,16,6,119,1,0,3,2,2,4,1,0,3595.0
1101,MC_SC_17_s01R_441,24,6,3,False,False,False,True,False,0,11,29,0,5,0,1,1,1,1,1,0,4,2523.0
1102,MC_SC_17_s01R_442,24,4,3,False,False,False,True,False,0,38,22,0,2,2,1,1,0,7,1,1,2,3181.0
1104,MC_SC_17_s01R_443,24,3,1,False,False,False,True,False,1,11,13,0,0,0,5,1,1,4,1,0,7,2441.0
1105,MC_SC_17_s01R_444,24,2,2,False,False,False,True,False,0,8,15,0,8,0,4,2,0,0,4,0,0,1429.0
1106,MC_SC_17_s01R_445,24,5,4,False,False,True,False,False,24,46,13,0,35,1,5,0,3,9,3,1,1,2917.0
1107,MC_SC_17_s01R_446,24,4,3,False,False,False,True,False,0,6,10,0,8,0,0,0,0,2,4,0,2,1249.0
1110,MC_SC_17_s01R_447,24,6,4,False,False,True,False,False,0,32,14,3,35,2,0,0,0,3,6,0,0,2737.0
1114,MC_SC_17_s01R_448,24,5,4,False,False,True,False,False,10,38,11,0,15,0,2,1,1,0,0,0,0,1638.0
1115,MC_SC_17_s01R_449,24,4,2,False,False,True,False,False,21,16,8,0,25,4,8,2,3,0,1,0,0,1280.0
1119,MC_SC_17_s01R_450,24,5,3,False,False,True,False,False,2,14,3,0,10,0,0,0,0,1,2,0,1,1120.0
1120,MC_SC_17_s01R_451,24,3,1,False,False,False,True,False,5,12,13,0,3,10,0,3,3,0,5,5,4,1078.0
1121,MC_SC_17_s01R_452,24,4,3,False,False,True,False,False,20,7,5,0,34,0,4,1,2,0,7,1,4,850.0
1126,MC_SC_17_s01R_453,24,4,3,False,False,True,False,False,62,21,9,0,41,0,2,2,2,0,1,2,0,1365.0
1135,MC_SC_17_s01R_454,24,5,3,False,False,False,True,False,0,18,22,20,27,1,0,2,0,0,2,10,0,1393.0
1138,MC_SC_17_s01R_455,24,6,5,False,False,False,True,False,0,66,80,0,207,5,23,5,11,23,21,6,0,3458.0
1140,MC_SC_17_s01R_456,24,5,3,False,False,False,True,False,0,35,25,0,10,0,8,1,8,0,1,4,4,780.0
1142,MC_SC_17_s01R_457,25,5,2,False,False,True,False,False,67,2,23,0,41,2,7,3,3,11,5,4,6,1674.0
1144,MC_SC_17_s01R_458,25,4,3,False,False,False,False,True,112,23,4,0,12,0,2,0,0,0,0,4,0,2179.0
1147,MC_SC_17_s01R_459,25,3,2,False,False,False,True,False,0,11,20,0,1,0,0,3,1,1,1,0,3,1354.0
1148,MC_SC_17_s01R_460,25,3,2,False,False,True,False,False,12,11,7,0,35,0,0,0,0,0,2,0,1,1099.0
1149,MC_SC_17_s01R_461,25,3,2,False,False,False,True,False,2,30,2,0,1,0,4,1,2,10,1,0,0,1552.0
1150,MC_SC_17_s01R_462,25,2,2,False,False,True,False,False,58,22,12,2,63,1,14,3,5,20,5,3,8,2201.0
1152,MC_SC_17_s01R_463,25,2,1,False,False,True,False,False,33,15,12,0,13,0,5,11,0,3,4,0,1,1141.0
1153,MC_SC_17_s01R_464,25,5,2,False,False,False,True,False,4,21,11,0,29,3,7,1,2,47,8,4,1,2139.0
1154,MC_SC_17_s01R_465,25,4,2,False,False,True,False,False,14,11,11,0,4,2,14,6,2,3,5,4,0,1213.0
1155,MC_SC_17_s01R_466,25,5,3,False,False,True,False,False,57,28,26,9,46,3,5,3,0,4,6,4,8,1654.0
1156,MC_SC_17_s01R_467,25,5,3,False,False,True,False,False,0,43,11,3,28,0,1,0,1,34,6,0,3,4026.0
1158,MC_SC_17_s01R_468,25,6,4,False,False,True,False,False,67,34,7,1,66,0,2,1,3,8,7,1,0,2195.0
1159,MC_SC_17_s01R_469,25,5,3,False,False,True,False,False,0,21,6,0,3,0,0,0,1,0,3,0,0,1691.0
1164,MC_SC_17_s01R_470,25,5,3,False,False,True,False,False,100,63,12,6,116,2,0,4,0,21,11,3,6,4831.0
1165,MC_SC_17_s01R_471,25,6,4,False,False,False,True,False,0,20,16,0,2,6,0,1,3,1,5,9,15,1023.0
1175,MC_SC_17_s01R_472,25,4,2,False,False,False,True,False,0,8,6,0,0,0,0,1,0,4,2,7,2,1288.0
1176,MC_SC_17_s01R_473,25,6,4,False,False,False,True,False,0,10,17,0,122,0,0,4,2,61,16,4,3,3969.0
1177,MC_SC_17_s01R_474,25,6,5,False,False,False,True,False,0,55,22,1,5,0,12,0,2,3,4,3,4,2123.0
1180,MC_SC_17_s01R_475,25,4,3,False,False,True,False,False,3,14,23,6,25,1,0,1,0,4,1,1,2,1088.0
1181,MC_SC_17_s01R_476,25,4,2,False,False,False,True,False,2,23,17,0,3,0,4,3,3,20,3,2,8,990.0
1183,MC_SC_17_s01R_477,25,5,3,False,False,True,False,False,57,19,24,0,34,1,16,1,1,2,6,6,2,1995.0
1188,MC_SC_17_s01R_478,25,3,2,False,False,False,True,False,1,28,39,13,13,0,0,4,0,38,0,21,5,1410.0
1189,MC_SC_17_s01R_479,25,6,4,False,False,True,False,False,0,19,56,27,85,10,5,8,1,1,4,8,11,2282.0
1194,MC_SC_17_s01R_480,26,4,3,False,False,True,False,False,62,19,16,2,55,2,2,0,1,0,4,2,6,1510.0
1195,MC_SC_17_s01R_481,26,9,5,False,False,False,True,False,0,21,11,0,67,1,9,1,4,12,8,4,2,2177.0
1196,MC_SC_17_s01R_482,26,4,3,False,False,True,False,False,115,27,7,0,55,0,3,2,4,1,4,0,7,1824.0
1200,MC_SC_17_s01R_483,26,5,2,False,False,False,True,False,1,33,27,1,68,1,0,1,2,3,3,1,1,3465.0
1201,MC_SC_17_s01R_484,26,4,2,False,False,False,True,False,2,3,7,0,3,0,3,0,1,4,2,1,0,1668.0
1202,MC_SC_17_s01R_485,26,3,2,False,False,False,True,False,0,5,4,0,3,0,0,0,1,0,1,0,0,1069.0
1204,MC_SC_17_s01R_486,26,3,2,False,False,False,True,False,0,29,7,0,10,1,4,0,3,7,2,2,1,1107.0
1206,MC_SC_17_s01R_487,26,4,3,False,False,True,False,False,19,4,10,0,30,1,0,0,1,0,3,0,0,1511.0
1207,MC_SC_17_s01R_488,26,5,3,False,False,True,False,False,60,8,20,5,35,0,5,0,1,5,3,2,8,1630.0
1210,MC_SC_17_s01R_489,26,7,4,False,False,False,True,False,0,12,33,0,30,0,1,2,3,96,11,2,4,4874.0
1211,MC_SC_17_s01R_490,26,4,3,False,False,False,True,False,0,3,17,0,2,0,1,0,2,2,1,5,0,1655.0
1214,MC_SC_17_s01R_491,26,3,2,False,False,False,True,False,1,14,5,0,1,1,0,0,1,0,2,0,5,998.0
1215,MC_SC_17_s01R_492,26,4,3,False,False,True,False,False,0,42,18,4,51,0,0,0,4,0,6,0,0,3313.0
1216,MC_SC_17_s01R_493,26,3,2,False,False,True,False,False,0,25,4,0,27,0,0,0,1,0,2,0,2,2212.0
1218,MC_SC_17_s01R_494,26,6,4,False,False,True,False,False,45,14,7,0,34,0,3,0,1,0,0,0,1,1185.0
