Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
307,MC_SC_17_s03L_196,7,4,2,False,False,False,True,False,1,9,32,0,11,4,10,1,1,18,1,3,3,1631.0
308,MC_SC_17_s03L_197,7,4,2,False,False,False,True,False,13,16,21,5,6,2,11,0,0,5,2,3,6,1381.0
309,MC_SC_17_s03L_198,7,1,1,False,False,False,True,False,2,0,5,0,5,0,0,0,0,6,0,0,0,905.0
310,MC_SC_17_s03L_199,7,7,6,False,False,False,True,False,1,16,12,0,13,5,4,0,1,0,1,5,5,1242.0
311,MC_SC_17_s03L_200,7,7,2,False,False,True,False,False,0,7,10,0,9,0,13,0,6,4,0,3,0,2015.0
312,MC_SC_17_s03L_201,7,1,1,False,False,False,True,False,0,0,10,0,3,0,8,0,1,1,0,5,3,404.0
314,MC_SC_17_s03L_202,7,7,5,False,False,True,False,False,0,6,9,0,4,1,3,2,3,18,3,5,6,1266.0
315,MC_SC_17_s03L_203,8,4,3,False,False,True,False,False,7,11,10,0,6,3,14,0,2,26,1,1,2,1386.0
318,MC_SC_17_s03L_204,8,5,2,False,False,False,False,True,84,5,24,0,15,0,25,0,1,0,0,11,0,1162.0
322,MC_SC_17_s03L_205,8,4,3,False,False,True,False,False,3,8,10,1,20,3,11,0,3,4,1,5,1,2210.0
323,MC_SC_17_s03L_206,8,6,4,False,False,True,False,False,3,13,6,0,0,0,0,0,2,4,0,1,0,1328.0
324,MC_SC_17_s03L_207,8,5,3,False,False,False,True,False,2,7,12,0,2,0,3,0,5,92,5,2,6,2371.0
327,MC_SC_17_s03L_208,8,7,5,False,False,True,False,False,0,11,18,0,18,0,8,3,0,34,5,2,1,1608.0
330,MC_SC_17_s03L_209,8,7,4,False,False,False,True,False,0,60,4,2,12,5,2,2,3,49,5,0,1,3324.0
331,MC_SC_17_s03L_210,8,6,5,False,False,True,False,False,74,32,19,2,112,3,15,0,2,25,8,1,15,2005.0
332,MC_SC_17_s03L_211,8,3,3,False,False,True,False,False,33,8,3,0,49,2,7,3,2,6,0,1,1,683.0
333,MC_SC_17_s03L_212,8,4,3,False,False,True,False,False,0,22,17,0,3,0,4,0,2,12,0,0,5,1992.0
334,MC_SC_17_s03L_213,8,3,2,False,False,True,False,False,0,8,0,0,3,2,4,0,1,0,0,1,0,823.0
335,MC_SC_17_s03L_214,8,5,3,False,False,True,False,False,49,7,4,11,28,0,0,2,0,16,5,0,1,1751.0
