Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
200,MC_SC_17_s03L_121,6,5,2,False,False,True,False,False,51,16,43,9,34,2,36,24,21,27,17,32,37
201,MC_SC_17_s03L_122,6,2,1,False,False,True,False,False,59,19,20,1,16,3,5,40,3,16,15,14,27
202,MC_SC_17_s03L_123,6,4,3,False,False,True,False,False,1,16,16,23,65,18,33,25,40,55,17,4,10
205,MC_SC_17_s03L_124,6,1,1,False,True,True,False,False,1,23,0,2,0,2,9,1,16,4,1,8,2
206,MC_SC_17_s03L_125,6,4,2,False,False,True,False,False,1,16,50,0,14,15,42,17,38,55,26,12,2
207,MC_SC_17_s03L_126,6,3,3,False,False,True,False,False,32,1,0,2,12,8,30,30,34,25,7,10,27
209,MC_SC_17_s03L_127,6,7,5,False,False,True,False,False,135,43,34,52,133,16,3,54,63,232,84,34,63
210,MC_SC_17_s03L_128,6,5,3,False,False,False,True,False,0,6,36,7,1,1,9,7,16,78,11,11,21
211,MC_SC_17_s03L_129,6,4,2,False,False,False,True,False,6,7,5,2,0,4,13,7,32,0,16,83,2
213,MC_SC_17_s03L_130,6,3,2,False,False,True,False,False,12,29,39,15,65,2,10,10,24,2,33,13,2
219,MC_SC_17_s03L_131,6,4,3,False,False,False,True,False,3,58,15,36,12,24,63,8,32,14,19,40,71
220,MC_SC_17_s03L_132,6,3,2,False,False,False,True,False,0,9,11,0,0,11,9,7,41,13,10,70,7
221,MC_SC_17_s03L_133,6,4,3,False,False,True,False,False,113,17,37,51,11,3,5,20,17,29,21,4,11
222,MC_SC_17_s03L_134,6,2,1,False,False,False,True,False,0,3,4,4,6,1,0,1,5,0,5,0,8
223,MC_SC_17_s03L_135,6,4,3,False,True,True,False,False,110,20,75,26,18,1,17,32,23,33,38,18,2
224,MC_SC_17_s03L_136,6,9,6,False,False,True,False,False,104,47,20,45,48,18,0,18,5,59,85,18,57
225,MC_SC_17_s03L_137,6,4,2,False,False,True,False,False,0,34,20,11,19,6,37,10,67,10,32,2,29
226,MC_SC_17_s03L_138,6,3,2,False,False,False,True,False,0,8,19,2,1,0,44,20,39,5,6,44,19
229,MC_SC_17_s03L_139,6,3,2,False,False,False,True,False,0,18,98,3,3,21,85,19,42,2,8,41,21
230,MC_SC_17_s03L_140,6,6,4,False,False,False,False,True,91,53,18,19,5,14,108,22,22,180,29,39,15
231,MC_SC_17_s03L_141,6,7,4,False,False,False,True,False,3,55,89,124,140,114,42,22,0,12,16,144,2
233,MC_SC_17_s03L_142,7,5,3,False,False,False,False,True,208,18,118,3,19,33,43,12,3,6,10,295,107
234,MC_SC_17_s03L_143,7,5,3,False,False,True,True,False,10,91,90,12,190,91,17,48,105,260,167,47,14
239,MC_SC_17_s03L_144,7,3,2,False,False,True,False,False,27,12,0,1,36,2,7,22,0,0,7,35,16
240,MC_SC_17_s03L_145,7,5,2,False,False,False,True,False,6,30,90,1,159,33,35,39,88,120,87,22,55
241,MC_SC_17_s03L_146,7,3,2,False,False,True,True,False,27,2,14,1,5,3,19,8,18,0,10,6,9
242,MC_SC_17_s03L_147,7,3,2,False,False,True,False,False,1,11,28,35,26,12,42,20,15,1,6,16,4
243,MC_SC_17_s03L_148,7,3,3,False,False,False,True,False,2,29,26,59,50,17,83,25,71,28,22,53,59
245,MC_SC_17_s03L_149,7,5,3,False,False,True,False,False,0,9,4,47,3,3,51,3,0,0,6,2,2
246,MC_SC_17_s03L_150,7,4,3,False,False,False,True,False,1,14,15,4,10,14,13,31,12,0,8,25,17
248,MC_SC_17_s03L_151,7,3,1,False,False,True,False,False,2,13,23,14,73,18,82,17,54,54,35,33,29
250,MC_SC_17_s03L_152,7,4,3,False,False,True,False,False,0,6,20,3,42,102,2,19,56,63,14,11,34
251,MC_SC_17_s03L_153,7,3,1,False,False,True,False,False,50,10,10,7,110,14,99,36,19,19,19,32,35
252,MC_SC_17_s03L_154,7,4,3,False,False,True,False,False,48,10,0,3,21,6,7,16,6,4,8,15,33
