Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3,Area
94,MC_SC_17_s03L_94,3,2,2,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,635.0
95,MC_SC_17_s03L_95,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740.0
96,MC_SC_17_s03L_96,3,5,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1302.0
97,MC_SC_17_s03L_97,3,4,2,0,2,7,10,0,4,2,4,0,0,0,1,0,0,0,0,1596.0
98,MC_SC_17_s03L_98,3,2,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,485.0
99,MC_SC_17_s03L_99,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,355.0
100,MC_SC_17_s03L_100,3,4,3,2,0,0,1,0,0,11,0,3,0,1,0,1,0,0,0,1558.0
101,MC_SC_17_s03L_101,3,5,3,1,0,1,2,0,25,7,0,5,0,2,2,0,0,0,0,1441.0
102,MC_SC_17_s03L_102,3,3,2,3,2,2,12,0,0,0,0,0,0,1,0,0,0,0,0,753.0
103,MC_SC_17_s03L_103,3,7,3,0,0,0,0,0,9,13,0,6,0,2,0,3,0,0,0,1212.0
104,MC_SC_17_s03L_104,3,6,4,2,1,0,13,0,8,62,0,0,0,1,34,5,0,0,3,3279.0
105,MC_SC_17_s03L_105,3,5,3,0,0,0,4,5,31,21,2,56,1,6,5,1,0,0,1,3176.0
106,MC_SC_17_s03L_106,3,3,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,431.0
107,MC_SC_17_s03L_107,3,4,3,13,0,0,2,0,1,0,0,9,0,1,0,1,0,0,0,1657.0
108,MC_SC_17_s03L_108,3,6,3,0,0,1,10,6,0,11,0,14,0,5,3,0,2,0,1,1303.0
109,MC_SC_17_s03L_109,3,5,4,4,0,0,2,1,12,6,0,8,0,0,2,0,0,0,0,2401.0
110,MC_SC_17_s03L_110,3,5,3,77,6,10,24,0,1,0,0,0,3,12,68,1,0,0,0,2762.0
111,MC_SC_17_s03L_111,3,3,3,2,0,0,7,2,5,2,0,1,1,0,8,0,0,0,0,1459.0
112,MC_SC_17_s03L_112,3,5,4,5,0,0,2,1,21,4,0,19,0,0,6,2,0,0,0,2460.0
113,MC_SC_17_s03L_113,3,8,4,5,0,0,9,2,119,43,0,8,0,0,4,1,0,0,0,2681.0
114,MC_SC_17_s03L_114,3,10,4,0,0,0,22,0,8,7,0,0,1,3,6,1,0,0,0,1913.0
115,MC_SC_17_s03L_115,3,17,6,0,4,0,8,0,6,6,0,0,1,0,17,2,0,0,5,1960.0
116,MC_SC_17_s03L_116,3,5,4,1,0,5,0,9,27,4,0,1,1,0,6,1,0,1,0,960.0
117,MC_SC_17_s03L_117,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949.0
118,MC_SC_17_s03L_118,3,4,3,2,0,1,5,0,0,1,0,0,0,0,5,0,0,0,0,1184.0
119,MC_SC_17_s03L_119,3,3,3,14,0,10,5,0,11,2,0,0,0,1,23,0,0,0,1,494.0
120,MC_SC_17_s03L_120,3,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,439.0
121,MC_SC_17_s03L_121,3,7,5,42,3,5,8,1,16,3,0,6,0,0,36,3,0,1,1,1235.0
122,MC_SC_17_s03L_122,3,5,3,0,1,9,10,0,18,1,0,6,1,1,12,5,0,0,5,1554.0
123,MC_SC_17_s03L_123,3,4,3,1,0,0,7,6,16,6,0,3,1,1,22,0,0,0,0,1172.0
124,MC_SC_17_s03L_124,3,6,3,0,0,5,5,1,6,0,3,2,0,0,3,0,0,0,0,923.0
