Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3
177,MC_SC_17_s03L_177,4,1,1,9,0,3,3,0,0,3,0,0,1,0,0,0,0,0,0
178,MC_SC_17_s03L_178,4,6,4,1,3,3,10,33,33,60,2,1,9,19,2,30,7,7,4
179,MC_SC_17_s03L_179,4,7,4,134,3,14,45,11,19,28,6,5,20,20,84,25,8,0,1
180,MC_SC_17_s03L_180,4,5,3,80,8,36,40,1,50,73,8,1,15,32,33,7,0,6,2
181,MC_SC_17_s03L_181,4,2,2,0,0,0,7,0,7,3,4,1,2,9,1,0,0,0,0
182,MC_SC_17_s03L_182,4,6,4,62,11,33,44,7,43,74,19,2,6,27,22,13,0,0,10
183,MC_SC_17_s03L_183,4,6,4,0,3,0,14,14,44,36,7,10,17,12,45,16,30,10,3
184,MC_SC_17_s03L_184,4,3,2,24,7,1,30,31,46,73,3,4,10,37,11,0,0,0,0
185,MC_SC_17_s03L_185,4,6,5,0,0,39,14,14,32,34,1,1,3,22,17,0,0,0,0
186,MC_SC_17_s03L_186,4,1,1,14,25,0,0,0,0,0,0,0,0,0,0,9,0,0,0
187,MC_SC_17_s03L_187,4,16,6,0,21,2,45,2,0,121,32,25,20,25,46,16,0,39,1
188,MC_SC_17_s03L_188,4,1,1,0,3,0,0,0,4,0,0,0,0,5,7,0,0,0,0
189,MC_SC_17_s03L_189,4,7,5,0,1,0,35,58,11,73,1,0,12,23,7,9,4,1,18
190,MC_SC_17_s03L_190,4,6,4,7,34,15,92,9,0,165,11,7,18,28,24,11,0,78,0
191,MC_SC_17_s03L_191,4,10,3,17,45,115,56,2,153,233,11,0,11,26,175,0,0,0,0
192,MC_SC_17_s03L_192,4,6,3,103,114,52,111,7,35,9,3,3,13,6,15,5,5,69,5
193,MC_SC_17_s03L_193,4,5,3,2,3,53,101,0,28,49,9,1,7,4,47,13,14,0,22
194,MC_SC_17_s03L_194,4,9,7,0,2,1,23,3,38,2,2,1,2,2,35,3,3,3,5
195,MC_SC_17_s03L_195,4,3,2,1,1,0,25,1,1,5,0,0,6,0,25,0,0,7,6
196,MC_SC_17_s03L_196,4,6,4,15,55,16,38,3,25,294,24,9,6,40,88,40,54,4,18
197,MC_SC_17_s03L_197,4,6,4,0,18,0,30,8,4,106,11,28,3,18,39,8,3,5,17
198,MC_SC_17_s03L_198,4,5,3,7,12,3,42,23,21,65,18,0,0,2,20,35,24,3,4
199,MC_SC_17_s03L_199,4,7,4,10,88,24,164,8,38,292,13,1,14,8,35,31,30,1,15
200,MC_SC_17_s03L_200,4,4,3,8,20,0,56,31,44,77,4,15,2,15,10,5,0,11,1
201,MC_SC_17_s03L_201,4,6,3,5,37,11,90,1,11,157,3,0,1,9,9,21,10,0,14
202,MC_SC_17_s03L_202,4,4,3,1,10,1,84,0,0,115,0,18,3,19,18,15,3,0,0
203,MC_SC_17_s03L_203,4,1,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0
204,MC_SC_17_s03L_204,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,MC_SC_17_s03L_205,4,3,3,1,22,8,56,10,0,87,6,1,6,1,7,0,0,10,0
206,MC_SC_17_s03L_206,4,3,2,1,13,15,36,0,7,8,0,0,4,4,18,5,0,20,17
207,MC_SC_17_s03L_207,4,4,3,0,1,0,5,4,10,26,0,0,1,9,0,0,0,0,0
208,MC_SC_17_s03L_208,4,6,4,1,14,3,46,30,26,0,4,0,11,10,0,6,0,29,0
209,MC_SC_17_s03L_209,4,2,2,66,12,15,23,2,34,8,8,0,5,2,6,19,6,0,7
210,MC_SC_17_s03L_210,4,5,4,2,1,1,75,0,0,52,5,9,1,7,0,9,7,3,10
211,MC_SC_17_s03L_211,4,2,2,65,4,1,37,0,0,0,0,6,0,8,0,2,0,9,16
212,MC_SC_17_s03L_212,4,5,3,1,8,0,21,16,0,14,24,8,3,11,2,6,0,2,0
213,MC_SC_17_s03L_213,4,5,4,122,27,41,102,0,104,2,13,8,20,68,3,0,0,0,0
214,MC_SC_17_s03L_214,4,3,2,4,7,0,10,0,2,0,5,0,1,3,0,0,0,0,0
215,MC_SC_17_s03L_215,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,MC_SC_17_s03L_216,4,8,5,158,4,2,51,16,38,9,10,0,11,20,25,58,8,2,5
217,MC_SC_17_s03L_217,4,14,5,0,12,0,80,1,19,62,19,0,18,76,25,67,6,34,7
218,MC_SC_17_s03L_218,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
