Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,rph3a,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,robo1,syt1,zfhx3,Area
53,MC_SC_17_s03L_41,5,3,2,False,False,True,False,True,False,29.55174067118993,71.93483042417242,129.53485259094452,93.72017312702408,46.91121979803611,100.40456243075926,30.127608945936267,92.88554916492728,52.81798787606526,69.94095468669418,53.43594713339383,93.68465881299667,1507.0
54,MC_SC_17_s03L_42,5,5,4,False,False,True,False,True,False,15.045119009411469,29.5888155588053,74.939324376769,76.44584558823529,41.729673485356706,123.67001517482905,44.74170193623143,69.295751202737,43.36019829117146,70.50354421250061,53.864413413791354,44.22995858369473,1224.0
56,MC_SC_17_s03L_43,5,2,2,False,False,True,False,False,False,36.81153425198463,17.18693182044354,104.17770085006377,19.019400610761615,48.47881931868677,171.49666822431948,28.078066512891926,49.95141219878098,95.15009810766958,127.85389095410392,50.787203987927114,121.60653744393647,799.0
61,MC_SC_17_s03L_44,5,5,4,False,False,True,False,True,False,80.20321268106264,83.70843885983456,96.54135522249621,97.13223272575205,56.242735592950865,123.88242676427525,70.03527577082833,119.86924803975542,77.15034318464815,113.57026433351845,96.27973240128068,128.44502520283663,2786.0
68,MC_SC_17_s03L_45,5,4,3,False,False,True,True,True,False,22.42567579934857,44.65809698152823,76.72943279051479,63.52957158773348,15.91418268906482,96.30138019431013,19.38540120833513,86.69698998131612,37.03703703703704,57.510994596952784,66.02156457419223,35.18051067897143,1346.0
69,MC_SC_17_s03L_46,5,5,3,False,False,False,True,True,False,53.354541725081056,10.173280354537521,105.39207902053506,53.519218876768086,42.09270039806915,8.596971139853041,11.284194562190237,82.10470426041928,22.48941162814824,42.087109433593646,59.59795758370658,67.81962339495398,2682.0
71,MC_SC_17_s03L_47,5,7,3,False,False,True,False,True,False,31.11029928913624,8.138627349799382,54.29361301051195,39.05126456871568,9.441540799570056,45.44540365552233,10.495521435691352,56.926383315402305,12.050105341490505,42.83514440025366,44.20382571773207,74.89466923954194,3739.0
72,MC_SC_17_s03L_48,5,3,2,False,False,False,True,True,False,103.60275693794843,58.516218644767726,160.8077407125207,133.46466980641142,35.70127333688714,148.70552767112173,62.238024177733855,148.0801657820714,93.91311372049768,153.27188419291286,129.71224708993108,117.39710366438216,1656.0
73,MC_SC_17_s03L_49,5,4,2,False,False,True,False,False,False,54.041944548313836,29.122384923228363,84.31858597283082,72.05592451039757,66.92779232918603,99.25069238385332,38.827010616048256,86.75689351100915,59.79956997438189,109.58783046316763,77.4764613680794,102.46825325249436,1278.0
74,MC_SC_17_s03L_50,5,3,2,False,False,True,False,True,False,81.16562034415476,62.73586840939039,84.97057156144353,80.31405204436852,46.701408688136446,101.43482634927634,68.92693975615593,97.87473666457123,65.98790947339788,103.2180090717432,79.41673505775046,99.97315285082207,2451.0
75,MC_SC_17_s03L_51,5,4,2,False,False,True,False,True,False,13.713319695872224,17.38735757678464,85.48982169173186,48.97693608897425,21.67023992069177,76.40050868763508,21.97379375048392,61.57864389475972,29.760728720437857,76.12923542036982,34.73018160537518,37.11314951314392,1289.0
81,MC_SC_17_s03L_52,5,5,3,False,False,True,False,False,False,77.72212425677165,46.53405007957341,111.84612362602492,113.24969787789576,80.51118784085072,158.19054811972384,56.93868249752138,85.8861741279257,84.61127841326658,136.31549707692017,89.87025955583577,140.37754000531618,1917.0
82,MC_SC_17_s03L_53,5,6,4,False,False,True,False,True,False,46.26609534043015,6.4651515100695045,91.83985934677058,83.88979836193012,55.26417968249987,116.75543671371301,19.430614049439896,60.20721114549925,17.801941072751426,52.87955784045343,26.61771346840113,64.70771410780897,840.0
84,MC_SC_17_s03L_54,5,3,3,False,False,True,False,True,False,78.10824298667097,47.45048454314121,101.31467453578917,134.27084201286377,114.38700322012521,187.23698886001048,87.37744201117681,169.91145823488006,130.1690945360221,142.28542268715526,122.57257813778934,103.08885282070887,2016.0
85,MC_SC_17_s03L_55,5,3,2,False,False,True,False,False,False,86.50583297277184,68.297468340749,137.73287976187905,120.295192886753,75.87172197209031,152.82973957724084,72.86306819326875,118.53567898850805,100.88798250766894,126.32481524512318,92.18877797565416,109.93835016145759,1637.0
87,MC_SC_17_s03L_56,5,4,3,False,False,True,False,True,False,22.5068712004462,44.148156273645064,105.02455471245908,71.36907686090687,39.5170411592365,147.86582357977386,15.411833386683675,86.71330022298531,72.55671097003983,86.30974716576975,83.81646095646732,39.40257000741393,1348.0
88,MC_SC_17_s03L_57,5,4,3,False,False,True,False,True,False,80.75925596190898,45.47118523853421,96.46894765156524,84.00316746813174,77.68207299192859,147.03886701541782,15.259384316648529,81.94368171692594,40.91738565316047,56.47982244546794,81.80753863987046,102.69426899837225,1489.0
89,MC_SC_17_s03L_58,5,4,2,False,False,True,False,True,False,25.17994954712279,16.614707014198558,75.88629715376517,29.8339956522989,33.162125070547866,96.0442133443051,30.03405535244119,61.737118690238205,36.79542748219184,40.26199114445267,35.32426474592931,75.37143797424964,1141.0
